Título,Autores,Precio,Disponibilidad,Rating,Categoría,Stock,URL
It's Only the Himalayas,['S. Bedford'],Â£45.17,In stock,Two,Travel,In stock (19 available),https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,['Rick Antonson'],Â£49.43,In stock,Four,Travel,In stock (15 available),https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
See America: A Celebration of Our National Parks & Treasured Sites,['Creative Action Network'],Â£48.87,In stock,Three,Travel,In stock (14 available),https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,['Shortcut Edition'],Â£36.94,In stock,Two,Travel,In stock (8 available),https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
Under the Tuscan Sun,['Frances Mayes'],Â£37.33,In stock,Three,Travel,In stock (7 available),https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html
A Summer In Europe,['Marilyn Brant'],Â£44.34,In stock,Two,Travel,In stock (7 available),https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html
The Great Railway Bazaar,['Paul Theroux'],Â£30.54,In stock,One,Travel,In stock (6 available),https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html
A Year in Provence (Provence #1),['Peter Mayle'],Â£56.88,In stock,Four,Travel,In stock (6 available),https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),['Bill Bryson'],Â£23.21,In stock,One,Travel,In stock (3 available),https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
Neither Here nor There: Travels in Europe,['Bill Bryson'],Â£38.95,In stock,Three,Travel,In stock (3 available),https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html
"1,000 Places to See Before You Die",['Patricia Schultz'],Â£26.08,In stock,Five,Travel,In stock (1 available),https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html
Sharp Objects,['Gillian Flynn'],Â£47.82,In stock,Four,Mystery,In stock (20 available),https://books.toscrape.com/catalogue/sharp-objects_997/index.html
"In a Dark, Dark Wood",[],Â£19.63,In stock,One,Mystery,In stock (18 available),https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
The Past Never Ends,['Eelco Runia'],Â£56.50,In stock,Four,Mystery,In stock (16 available),https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
A Murder in Time,['Julie McElwain'],Â£16.64,In stock,One,Mystery,In stock (16 available),https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),['Agatha Christie'],Â£44.10,In stock,Four,Mystery,In stock (15 available),https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Last Mile (Amos Decker #2),['David Baldacci'],Â£54.21,In stock,Two,Mystery,In stock (14 available),https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
That Darkness (Gardiner and Renner #1),['Lisa Black'],Â£13.92,In stock,One,Mystery,In stock (14 available),https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
Tastes Like Fear (DI Marnie Rome #3),['Sarah Hilary'],Â£10.69,In stock,One,Mystery,In stock (14 available),https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
A Time of Torment (Charlie Parker #14),['John Connolly'],Â£48.35,In stock,Five,Mystery,In stock (14 available),https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html
A Study in Scarlet (Sherlock Holmes #1),"['Arthur Conan Doyle, Sir']",Â£16.73,In stock,Two,Mystery,In stock (14 available),https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
Poisonous (Max Revere Novels #3),['Allison Brennan'],Â£26.80,In stock,Three,Mystery,In stock (12 available),https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
Murder at the 42nd Street Library (Raymond Ambler #1),['Con Lehane'],Â£54.36,In stock,Four,Mystery,In stock (12 available),https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
Most Wanted,['John le Carre'],Â£35.28,In stock,Three,Mystery,In stock (12 available),https://books.toscrape.com/catalogue/most-wanted_623/index.html
Hide Away (Eve Duncan #20),['Iris Johansen'],Â£11.84,In stock,One,Mystery,In stock (12 available),https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Boar Island (Anna Pigeon #19),['Nevada Barr'],Â£59.48,In stock,Three,Mystery,In stock (12 available),https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
The Widow,['MIGUEL DE CERVANTES'],Â£27.26,In stock,Two,Mystery,In stock (11 available),https://books.toscrape.com/catalogue/the-widow_609/index.html
Playing with Fire,['Barbara Field'],Â£13.71,In stock,Three,Mystery,In stock (11 available),https://books.toscrape.com/catalogue/playing-with-fire_602/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),['Mary Ellis'],Â£25.37,In stock,Five,Mystery,In stock (7 available),https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),['Rachel McMillan'],Â£52.30,In stock,Five,Mystery,In stock (7 available),https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
Delivering the Truth (Quaker Midwife Mystery #1),['Edith Maxwell'],Â£20.89,In stock,Four,Mystery,In stock (7 available),https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
The Mysterious Affair at Styles (Hercule Poirot #1),['Agatha Christie'],Â£24.80,In stock,Four,Mystery,In stock (6 available),https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
In the Woods (Dublin Murder Squad #1),['Tana French'],Â£38.38,In stock,Two,Mystery,In stock (6 available),https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html
The Silkworm (Cormoran Strike #2),['Robert Galbraith'],Â£23.05,In stock,Five,Mystery,In stock (3 available),https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html
The Exiled,['Jordan Lowery'],Â£43.45,In stock,Three,Mystery,In stock (3 available),https://books.toscrape.com/catalogue/the-exiled_247/index.html
The Cuckoo's Calling (Cormoran Strike #1),['Robert Galbraith'],Â£19.21,In stock,One,Mystery,In stock (3 available),https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html
Extreme Prey (Lucas Davenport #26),['John Sandford'],Â£25.40,In stock,Three,Mystery,In stock (3 available),https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html
Career of Evil (Cormoran Strike #3),['Robert Galbraith'],Â£24.72,In stock,Two,Mystery,In stock (3 available),https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),['Alexander McCall Smith'],Â£57.70,In stock,Four,Mystery,In stock (1 available),https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html
The Girl You Lost,['Zane Grey'],Â£12.29,In stock,Five,Mystery,In stock (1 available),https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html
The Girl In The Ice (DCI Erika Foster #1),['Robert Bryndza'],Â£15.85,In stock,Three,Mystery,In stock (1 available),https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html
Blood Defense (Samantha Brinkman #1),['Marcia Clark'],Â£20.30,In stock,Three,Mystery,In stock (1 available),https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html
1st to Die (Women's Murder Club #1),"['James Patterson', 'Andrew Gross']",Â£53.98,In stock,One,Mystery,In stock (1 available),https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html
Tipping the Velvet,['Sarah Waters'],Â£53.74,In stock,One,Historical Fiction,In stock (20 available),https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,['Josi S. Kilpack'],Â£29.69,In stock,Three,Historical Fiction,In stock (16 available),https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
A Flight of Arrows (The Pathfinders #2),['Lori Benton'],Â£55.53,In stock,Five,Historical Fiction,In stock (16 available),https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
The House by the Lake,['Hugh Mills'],Â£36.95,In stock,One,Historical Fiction,In stock (15 available),https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
Mrs. Houdini,['Victoria Kelly'],Â£30.25,In stock,Five,Historical Fiction,In stock (15 available),https://books.toscrape.com/catalogue/mrs-houdini_821/index.html
The Marriage of Opposites,['Alice Hoffman'],Â£28.08,In stock,Four,Historical Fiction,In stock (14 available),https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
Glory over Everything: Beyond The Kitchen House,['Kathleen Grissom'],Â£45.84,In stock,Three,Historical Fiction,In stock (14 available),https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
"Love, Lies and Spies",['Cindy Anstey'],Â£20.55,In stock,Two,Historical Fiction,In stock (12 available),https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
A Paris Apartment,['Michelle Gable'],Â£39.01,In stock,Four,Historical Fiction,In stock (12 available),https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
Lilac Girls,['Martha Hall Kelly'],Â£17.28,In stock,Two,Historical Fiction,In stock (11 available),https://books.toscrape.com/catalogue/lilac-girls_597/index.html
The Constant Princess (The Tudor Court #1),['Philippa Gregory'],Â£16.62,In stock,Three,Historical Fiction,In stock (7 available),https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
The Invention of Wings,['dailyBooks'],Â£37.34,In stock,One,Historical Fiction,In stock (6 available),https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html
World Without End (The Pillars of the Earth #2),['Ken Follett'],Â£32.97,In stock,Four,Historical Fiction,In stock (5 available),https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html
The Passion of Dolssa,['Julie Berry'],Â£28.32,In stock,Five,Historical Fiction,In stock (4 available),https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
Girl With a Pearl Earring,['Tracy Chevalier'],Â£26.77,In stock,One,Historical Fiction,In stock (4 available),https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html
Voyager (Outlander #3),['Diana Gabaldon'],Â£21.07,In stock,Five,Historical Fiction,In stock (3 available),https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
The Red Tent,['Anita Diamant'],Â£35.66,In stock,Five,Historical Fiction,In stock (3 available),https://books.toscrape.com/catalogue/the-red-tent_273/index.html
The Last Painting of Sara de Vos,['Dominic Smith'],Â£55.55,In stock,Two,Historical Fiction,In stock (3 available),https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html
The Guernsey Literary and Potato Peel Pie Society,"['Mary Ann Shaffer', 'Annie Barrows']",Â£49.53,In stock,One,Historical Fiction,In stock (3 available),https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
Girl in the Blue Coat,['Monica Hesse'],Â£46.83,In stock,Two,Historical Fiction,In stock (3 available),https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html
Between Shades of Gray,['Ruta Sepetys'],Â£20.79,In stock,Five,Historical Fiction,In stock (3 available),https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html
While You Were Mine,['Tammy Falkner'],Â£41.32,In stock,Five,Historical Fiction,In stock (1 available),https://books.toscrape.com/catalogue/while-you-were-mine_97/index.html
The Secret Healer,['Ellin Carsta'],Â£34.56,In stock,Three,Historical Fiction,In stock (1 available),https://books.toscrape.com/catalogue/the-secret-healer_80/index.html
Starlark,['Cael Percy'],Â£25.83,In stock,Three,Historical Fiction,In stock (1 available),https://books.toscrape.com/catalogue/starlark_56/index.html
Lost Among the Living,['Work'],Â£27.70,In stock,Four,Historical Fiction,In stock (1 available),https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html
